,Name,Major,Gender,Year,Transfer,Sentiment,Text,GEN,ATMD,REC,BACK,EXMP,PREP,PROF,COMM,PEER,RAC,GENERAL,STERM,PEERS,EXPM,IMP
24,Sapphire,MechE,female,Sophomore,No,NEU," Yeah, exactly. Because that's like, at the time, when a person explains it you’re like, ""Oh, I kinda see it,"" but you're not. And so, I think it's the way of phrasing the question to set the question up so people feel comfortable with being, I guess, a little bit more vulnerable perhaps and... 
",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
25,Buttercup,MechE,male,Not Specified,Not Specified,POS," I would say, during the whole, like, the projects, like I remember in ENES, we had the CATme [sic], and my group did well and that just made me, I mean, that made me feel like, yeah, I know what I was doing. I just took a statics exam, we got the grades back and I got like a 94, so, I'm like, this is going well. 
",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
26,Sapphire,MechE,female,Sophomore,No,POS," I think my thermo class this semester really kind of…I felt like a couple times, like, wow, like, because it’s like you're learning something new, like, oh my gosh, this is really cool. And like, I wanna stick with it too, like to keep going, so... 
",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
27,Gabby,ChemE,female,Junior,No,POS," I think for me, it was last semester, I took my first environmental engineering course, and which is what I, like, really came to do in the first place and not like, I don't know, I didn't know what to expect with all the Chem. E. stuff, but then, I really just...I think that was the first time I like made this connection. I was like, ""Oh, you know, I think this is what I wanna do and I really love this, and that was the first class that I like really, really…like I worked so hard and, like, it paid off, and then, I ended up like getting a really good grade, and that was good. 
",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
28,Sapphire,MechE,female,Sophomore,No,POS," I got to know her a bit last year because she filled in when like Penny was gone, but she's like, she's very approachable. She's like, I guess, very down to earth, in terms of like, ""Do you have questions?"" Like, she'll kind of like help you, or like, ""What's the big picture?"" She'll like use experiences from like her past. She'll tell you about her hobbies and like…I don't know, she's just...And the way that she just carries herself is really cool and like something that I strive to do, like, just in terms of like, her confidence, like, how she, like, either talks to people or solves problems or just like... The way she shares she’ll just like share what she’s doing, she was like, ""Oh, yeah, like, I have to like edit Hrabowski’s speech or something like that. Just like, whoa, and like, in all different regards…like she's really helpful for like when you have questions, if you wanna not necessarily challenge or like, get points back on your exam, or like, when you explain stuff, she's just...she has an approachable personality, which I think is really important. 
",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
29,Gabby,ChemE,female,Junior,No,POS," Well, so, I actually work in his lab too... And the water chemistry class I took last semester, he's the one who taught it, and I feel like he just really like developed my interest in engineering and in addition to like helping me develop professionally and to learn more about the field that I like think I wanna do now in the future, which is like water quality stuff. I think that he's also a good mentor and so, I feel like, not only has my interest increased but also, like, he’ll help me through, like, I don't know, like academic things. If I like, have a question, he'll help me out or if I like need some support, so... 
",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
30,Sapphire,MechE,female,Sophomore,No,POS," Somebody else, so, Mark Zupan is my faculty mentor, I guess my CWIT mentor. So, I met him like at retreat and just, it's been really cool to see, like, he, like, he made a skylight, and like introduced me to people, like, ""Hey, like, what are you excited about?"" Like, I mean really interested in, like, what I wanna do. And he would share like, hey, like, what he did in his past, like the things that he struggles with, so... 
",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
31,Buttercup,MechE,male,Not Specified,Not Specified,NEG," Mmm, I was gonna...oh, yeah, I was thinking about this for a while. It's like, I always feel like I have to establish myself, whether it be to the professor or to my other classmates beforehand before I can start being funny and all that, because like, the thing that really gets me, and I'm pretty sure it's happened to everyone here, where it's like you're working on a problem and then you say this…
",False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
32,Buttercup,MechE,male,Not Specified,Not Specified,NEU," ...and you know it's right, but the person looks at the next person around, like, not like it was a group consensus, they look at another person that looks similar to them.
",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
33,Sapphire,MechE,female,Sophomore,No,NEU," I think, like you notice that, you notice that they look to other people but I never knew why. Well, I mean, I figured but like, I didn't like, make the connection, they were looking for someone who looked like them. 
",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
34,Red,ChemE,female,Sophomore,Not Specified,NEU," I don't interact with other students that much, maybe like with people sitting next to me in class, it'll be like, hey, question, like just to see like how they worked it out or if I didn't figure it out, or if I understood something, they'd ask me. But like a lot of my studying, I do it alone. So, that's why I don’t have interaction that much. 
",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
35,Buttercup,MechE,male,Not Specified,Not Specified,NEU," And I would say like from my CATme [sic] group, that's something that's going on now and we're like slowly starting to socialize more. And this like always happens, especially in engineering, where it's like I make a joke, and they're like, ""Oh, wow, you're,"" I feel like they think like I'm the funny one or in that sense, where they already have a preconceived notion of me, whereas like, I've been to like Catholic majority Caucasian schools for like all of my life, so, it's like, I connect with them a lot, and it's just like, what, why one [inaudible 00:28:41] see stuff like that? 
",False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
36,Gabby,ChemE,female,Junior,No,NEU," Yeah, there's always a small few definitely that, you know, like ask a bunch of questions or like argue with the professors. 
",False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
37,Sapphire,MechE,female,Sophomore,No,NEU," I think really, the asking questions part, like, there's some people who ask it, who do and like try to show off, but like, there's also a good portion that don't. But like, in like one of my classes, like, there are a couple, like and towards the front and like, be making comments…like, I don't know if that's like bad or anything, it's just like... 
",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
38,Buttercup,MechE,male,Not Specified,Not Specified,NEG," It's really annoying to me because like, the thing I see is like the people who ask the question who already have an answer in their head, and they're 100% sure it's correct, so, I'm just like, ""Why are you doing this?"" 
",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
39,Gabby,ChemE,female,Junior,No,NEU," I feel like it depends on the professor. (responding to show-offs)
",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
40,Gabby,ChemE,female,Junior,No,NEU," Yeah, I've seen some like get in the way and like shut it down, and others like, definitely interact, engage with it, so... 
",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
41,Sapphire,MechE,female,Sophomore,No,POS," Professors, I haven't. (on people putting others down)
",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
42,Buttercup,MechE,male,Not Specified,Not Specified,NEG," Yeah, it was like, I'm not gonna get down into details or stuff like that, but it was like really weird for me, because I got, like, towards the end of the semester, I started getting like closer with my TF, we started joking, and then, he asks me if he had the n-word card, and he used the word, and I was like... 
",False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
43,Sapphire,MechE,female,Sophomore,No,NEG," Well, I don’t know, first, I don't know, like it's not, I think, in terms of like, not actually discriminatory but like in terms of like, kind of answering questions, like, ""Did you just like say that?"" So, one of my professors this semester, actually two, one is in the engineering department, the other one is not, but who, like, I don't know if they were intending to be funny but like one of them made, like, some jokes about suicide and that wasn't really cool, or like, we talk about, like he makes a mistake and he likes to be dramatic and like, ""Oh, I'm gonna kill myself,"" or something like that. Yeah, so I just I didn’t think that one was cool, like, sometimes, one of the students would leave, like, he'd be talking about that student and so, ""Oh, do you have some place to go?"" Or like something like that. 
",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
44,Sapphire,MechE,female,Sophomore,No,NEG," Yes. So, I don't think, the intention wasn't to demean the person in any way, I just don't think that, in terms of like inclusive community, I don't think that was serving inclusive community, but I don't think they were intentionally trying to, like, squash the person.  
",False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
45,Red,ChemE,female,Sophomore,Not Specified,NEG," When it comes to joking, I noticed this a lot with, and again, I haven't taken like Chem. E. courses yet but with the courses that I've taken, the professors, I don't know, they had this like sarcastic form of humor, like, after they explain a problem, it's just like, you know, if you get it, you get it, if you don't get it, like, I don't know. I don't know what they say but it's just, it kind of puts down people who, like, who don't understand or...I don’t know how to explain it.
",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
46,Sapphire,MechE,female,Sophomore,No,NEG," That happened in chemistry a lot, so, that happened in chemistry a lot. (sarcastic professors)
",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
47,Buttercup,MechE,male,Not Specified,Not Specified,NEU," I just notice a lot of people like working in similar groups with other people who look similar to them. 
",True,False,False,False,False,False,False,True,False,True,False,False,False,False,False
48,Buttercup,MechE,male,Not Specified,Not Specified,NEG," Yeah. And then, the only thing is like when people who like generally like don't really care being in a group or something like that ask, like, a question, to like, a different group, it's like this uneasy feeling, I guess, where it's like, like they tell you but at the same time they're just like, ""It's weird. It seems like this person is doing me a favor more than anything."" 
",True,False,False,False,False,False,False,True,False,True,False,False,False,False,False
49,Sapphire,MechE,female,Sophomore,No,NEG," From my experience, at least in terms of… Like, I've seen two things, like I've seen, so, for me, it generally splits into like people who really want to be like, either successful, or like motivated, especially motivated to do engineering. And then, I see some like, the other group is just like not as motivated at all. And those are the people in projects, and those are the people that really don't show up for the class project or like don't do it or like…I'm not saying like wait till the last minute, because I wait till the last minute to do stuff too but like, just like, put off stuff for like, don't either…actually go the extra mile but, like, don't go to the career fair, like, don't read your emails, like, don't join other clubs that you can get community with, don't do study groups, like, different things that, I don't know, and just sit there and complain how they’re failing their classes. That bugs me.  
",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
50,Sapphire,MechE,female,Sophomore,No,POS," So like, you have that one, but then, you have the other group who are like, okay, like, go into office hours, asking questions, working with other people, going to career fairs, doing other clubs to get other experiences, talking with professors. And so, in terms of like that regard, like, I don't see a difference of like treatment between like guys and girls or different ethnicities or culture, like…I think it's, like in that regard, like I haven't really had any...because I've had very positive experiences. I kinda came to school, like I'm gonna be like the only person, which I've grown up as like the only girl and everything, so that was cool, I guess, so I was like used to it.  
",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
51,Sapphire,MechE,female,Sophomore,No,NEU," But it's been really refreshing coming here because it's like, if I have a question and like, oh, I even had friends and I was like, and I was like, ""Haley, you're really smart. Like, I'm really glad you're here."" Or like, they'll like say these different things and, like, you wouldn't expect it to be said but it's just like, ""Wow."" I'm like, so I've had very positive experiences but I've noticed that there is a different type of motivational level, and I'm not really sure. Like, if you don't wanna be an engineer, like, why...I just... 
",False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
52,Gabby,ChemE,female,Junior,No,NEU," Oh, I just, I haven't really seen many differences in like how men and women are treated in the major. I think most of that type of thing wouldn't, if it like, does occur, it's probably more implicit than anything, so...which is like, really hard to like identify. 
",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53,Red,ChemE,female,Sophomore,Not Specified,POS," I guess I don't interact much with other students because I do study alone but the times that I have, you know, with ENES groups, with my study groups, when I first started doing study groups, like, the dynamics are pretty well, like, you know, it was a diverse group and, you know, even when it wasn't diverse, like, people were very, very, very nice. So, I understand that, so it was okay.
",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
54,Buttercup,MechE,male,Not Specified,Not Specified,POS," Yeah, I would say so, at least being, yeah, like a Mech. E. now, maybe there's like two in my discussion that are of ethnic backgrounds and women. So, me being a male, I guess it makes it kinda easier to like speak to them. Because like with mechanical engineering, I noticed a lot more than anything, it comes down to personal skills, how long you're able to talk to certain people and open up different like resources for you. So, being a male, I'd say that helped me more in terms of relating more. 
",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
55,Buttercup,MechE,male,Not Specified,Not Specified,NEU," It's like maybe like the TV shows I watch and like how we watch TV shows, or it's just like, how we grew up as men and whether they be Caucasian or African American, we both...I just feel like the gender as a male brings up different ideas and like gender norms.  (on relating to others)
",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
56,Buttercup,MechE,male,Not Specified,Not Specified,NEG," Yeah. And I would say a big thing that comes up is people always question when it is between two genders, whether there's sexual tension. That's like a really big thing I noticed. When, there's two, a guy and a girl are talking about physics or anything at all and like laughing and joking, like, ""Oh, are they a thing?"" 
",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
57,Sapphire,MechE,female,Sophomore,No,NEG," Yeah. (about presumed couples when men and women interact) 
",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
58,Buttercup,MechE,male,Not Specified,Not Specified,NEG," Or if a guy is talking to a girl or just…it seems as though someone's always questioning, especially on the male side, what the other person’s intent is when it's different genders, so… 
",True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
59,Gabby,ChemE,female,Junior,No,NEG," Well, there's just been some like uncomfortable situations for me where maybe I like…like I haven't...I felt less comfortable like…I guess I don't wanna generalize like my whole major but I just felt less comfortable in general because like, you know, I study with my guy friends or like male colleagues in my classes and then, sometimes, we'll be studying for a while and then they'll like hit on me or something. And it makes me feel so uncomfortable. Because, I'm just like, ""Lighten up, dude, I just wanna just study. That wasn't what I was trying to do here."" And that's actually happened to me like a few times, and now, I'm mostly like, I feel like I more relate and study with my girlfriends now and that's just been something that has been weird for me.  
",True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
60,Gabby,ChemE,female,Junior,No,NEG," It's definitely higher for Chem. E. than Mech. E., I would say. (on gender distribution)
",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
61,Sapphire,MechE,female,Sophomore,No,NEU," Yeah. I think in my discussion, like, I definitely have girlfriends that I can study with, but I don't know, for me, it's like, I study different so like, it’s like you study alone, right, which is great, that's awesome. I'm a person though who like needs, like people with…I'm auditory, so like, having a textbook is like torture for me. Like, I could read it but I have to read it like five times for me to understand. I'd rather like have you explain the concept to me and I can get it right away. So, for that, like what I've noticed, and I'm not sure if it's a gender thing, but I've noticed that some of my friends prefer to study alone, and those friends prefer, or like those friends are generally, like, would like, use, like female as a gender preference. So, that kind of leaves me so I have a few…so, like, of my female colleagues who like to study together, the other thing that happens is like if they're commuters or not. So, commuters tend to study by themselves more so than people who live on campus. And so, with that, there's like one or two that I'll study with in a group but other times, like, just, I find myself studying with other people who are sitting in a group and they tend to not be female.  
",True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
62,Buttercup,MechE,male,Not Specified,Not Specified,NEG," And that, yeah, but I would say that that even like brings up the question because like, I, well, in the dorm that I'm in, I'm familiar with a lot of people there and I know most of the Mech. E.'s, based off them being in the study rooms and them being in group, just, you know, being in study rooms and things like that, and it's almost always males, and there's maybe like one woman or one or two…it's usually only one. So, I'm just like, ""Are there any other women Mech. E.s in my hall?"" When I know there is, it's just like that idea where, again, that tension just causes like a split. 
",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
63,Buttercup,MechE,male,Not Specified,Not Specified,NEU," I feel like, because the person that I usually see, I'm good friends with her, so, that's usually the same person. Yeah. (on women in his study group)
",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,Sapphire,MechE,female,Sophomore,No,NEU," I definitely, I definitely pick it up, like, in terms of like in my one class, if there's like a group, so like there's like maybe like four, five, six girls. And so, like, there are groups of just, like, all guys. And so, I don't know, it's not like it's a problem but it's just like, it's something I noticed or like, I always noticed so like... These groups are all randomized with cards, and so, it wasn't like they wanted to be, like, intentionally putting [them] in groups. So, I just found like there's one group that had like three girls in one, with like one group without it. So, I just found that that was just interesting. And the other thing, like, in terms of, you mentioned something but I forgot what you mentioned, in terms of skillsets, I guess, with... 
",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65,Sapphire,MechE,female,Sophomore,No,NEG," Yeah, so like, in one of my classes, it's like my CAD class, and they'll talk about cars all the time. Like, I don't know about cars, like, a lot of like…maybe of my group of friends who are in CWIT, like one person likes cars, another person likes tanks but like, when they're explaining about how these things work, it's like we missed the step of like, okay, how does this work? Because we're assumed that, like, we all grew up playing... 
",True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
66,Sapphire,MechE,female,Sophomore,No,NEG," And so, like, you'll see people nodding their heads. I'm not saying that all guys know about cars. I'm not saying that either, but I'm just saying, when you just use that specific reference and you're not really using other references to explain things, it misses people, and you're just like, ""Wow, like, okay, how am I going to learn more about cars? I don't even know where to start with cars."" So, I gotta learn how like an auto-cycle was and don’t really know this, like, ""Oh, this is really cool,"" but I had never like either had the opportunities or like the resources or just like have a bunch of friends who take apart cars, and I don't. 
",True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
67,Sapphire,MechE,female,Sophomore,No,NEU," Yeah. That's a very wide assumption. (Mech E’s like cars)
",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
68,Buttercup,MechE,male,Not Specified,Not Specified,NEU," I think guns too to a certain extent. (what MechE’s are interested in)
",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
69,Buttercup,MechE,male,Not Specified,Not Specified,NEG," Yeah, I would say it's because I'm Nigerian, I would say. So, I feel like, for a lot of people, because I'm Nigerian, I guess, and I wear glasses or something like that, it comes down to the idea where…like, when I got this internship, I noticed that like, I felt as though I wasn't intimidating in the way I look, and that's what it really came down to versus someone who's maybe black or maybe had his hair like this. I have a friend, he has a 4.0 bio chem., has his hair out, earrings and all that stuff, and I feel like he's looked at a lot differently when he grasps the content better than anyone else in the class. And it really comes down to, like, people looking at you and saying, ""Oh, this person is,"" I don't wanna say the word dangerous but intimidating and it's like, I don't know if I can connect with this person.  
",False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
70,Buttercup,MechE,male,Not Specified,Not Specified,NEG," Yeah. And then, also, yeah, I'm perceived as that, and then I'm in tune with a lot of cultures, so, if I sing out a rap song or something like that, it goes back to that stereotype that I'm a little…or I'm intimidating, but if I speak with a nicer tone and I enunciate a lot better, or not even better, just I enunciate specific words more, it's a different vibe. 
",False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
71,Red,ChemE,female,Sophomore,Not Specified,NEU," There we go, awareness, there we go. So, I guess, my awareness is like super high when it comes to, like, gender. So, you know, if I'm walking into a lecture hall and that, you know, the whole row is guys, like, I noticed that, and sitting there, I'm super self-conscious that, like, next to me is like five guys and you know, they're asking questions or whatnot. 
",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
